Date_of_Loss,Total_Cost
3/14/2009 0:00,140046.84
3/15/2009 0:00,218956.25
3/16/2009 0:00,751305.39
3/17/2009 0:00,596963
3/18/2009 0:00,1075155.03
3/19/2009 0:00,1149600.13
3/20/2009 0:00,771735.36
3/21/2009 0:00,173380.5
3/22/2009 0:00,195588.29
3/23/2009 0:00,922270.77
3/24/2009 0:00,805293.73
3/25/2009 0:00,461631.15
3/26/2009 0:00,292537.94
3/27/2009 0:00,1426522.11
3/28/2009 0:00,426373.27
3/29/2009 0:00,140978.58
3/30/2009 0:00,1630546.92
3/31/2009 0:00,1117205.77
4/1/2009 0:00,851072.39
4/2/2009 0:00,1198971.54
4/3/2009 0:00,659008.07
4/4/2009 0:00,68919
4/5/2009 0:00,106468.74
4/6/2009 0:00,767665.61
4/7/2009 0:00,756140.42
4/8/2009 0:00,1755520.24
4/9/2009 0:00,753432.12
4/10/2009 0:00,521350.69
4/11/2009 0:00,253763.62
4/12/2009 0:00,53986.61
4/13/2009 0:00,1184278.33
4/14/2009 0:00,603652.13
4/15/2009 0:00,664211.45
4/16/2009 0:00,560136.32
4/17/2009 0:00,421731.43
4/18/2009 0:00,344181.59
4/19/2009 0:00,423345.62
4/20/2009 0:00,888618.96
4/21/2009 0:00,843573.11
4/22/2009 0:00,868073.09
4/23/2009 0:00,1077616
4/24/2009 0:00,379563.87
4/25/2009 0:00,357485.51
4/26/2009 0:00,393875.76
4/27/2009 0:00,633396.91
4/28/2009 0:00,1415909.17
4/29/2009 0:00,210613.35
4/30/2009 0:00,1997132.24
5/1/2009 0:00,2203082.47
5/2/2009 0:00,251777.84
5/3/2009 0:00,130721.87
5/4/2009 0:00,1192759.69
5/5/2009 0:00,608757.19
5/6/2009 0:00,670141.44
5/7/2009 0:00,1433278.64
5/8/2009 0:00,724690.16
5/9/2009 0:00,234542.11
5/10/2009 0:00,420962.72
5/11/2009 0:00,1269116.63
5/12/2009 0:00,1668437.54
5/13/2009 0:00,865736.99
5/14/2009 0:00,1194444.76
5/15/2009 0:00,815164.51
5/16/2009 0:00,616710.9
5/17/2009 0:00,732773.23
5/18/2009 0:00,582357.49
5/19/2009 0:00,870650.9
5/20/2009 0:00,1657055.49
5/21/2009 0:00,1171659.52
5/22/2009 0:00,895695.49
5/23/2009 0:00,186817.69
5/24/2009 0:00,466981.28
5/25/2009 0:00,268428.88
5/26/2009 0:00,1347743.88
5/27/2009 0:00,1215865.28
5/28/2009 0:00,453568.86
5/29/2009 0:00,1413758.9
5/30/2009 0:00,713428.87
5/31/2009 0:00,118925.47
6/1/2009 0:00,873617.47
6/2/2009 0:00,1359042.04
6/3/2009 0:00,1011096.36
6/4/2009 0:00,1477092.84
6/5/2009 0:00,1190721.52
6/6/2009 0:00,237787.9
6/7/2009 0:00,705032.5
6/8/2009 0:00,725168.89
6/9/2009 0:00,817144.64
6/10/2009 0:00,1096096.18
6/11/2009 0:00,1293599.42
6/12/2009 0:00,476707.69
6/13/2009 0:00,469872.36
6/14/2009 0:00,247001.25
6/15/2009 0:00,792094.67
6/16/2009 0:00,980420.27
6/17/2009 0:00,677837.84
6/18/2009 0:00,811359.27
6/19/2009 0:00,1141398.41
6/20/2009 0:00,571789.31
6/21/2009 0:00,420852.36
6/22/2009 0:00,451346.95
6/23/2009 0:00,788834.17
6/24/2009 0:00,891415.45
6/25/2009 0:00,618425.23
6/26/2009 0:00,1353867.97
6/27/2009 0:00,536686.3
6/28/2009 0:00,224080.97
6/29/2009 0:00,1246340.31
6/30/2009 0:00,520581.88
7/1/2009 0:00,1135994.56
7/2/2009 0:00,484024.47
7/3/2009 0:00,250464.56
7/4/2009 0:00,24484.95
7/5/2009 0:00,471217.1
7/6/2009 0:00,567648.53
7/7/2009 0:00,663088.29
7/8/2009 0:00,858520.74
7/9/2009 0:00,483930.62
7/10/2009 0:00,833232.4
7/11/2009 0:00,480131.94
7/12/2009 0:00,196035.13
7/13/2009 0:00,1373706.28
7/14/2009 0:00,418093.27
7/15/2009 0:00,673247.45
7/16/2009 0:00,640129.39
7/17/2009 0:00,994796.49
7/18/2009 0:00,567694.5
7/19/2009 0:00,12159.76
7/20/2009 0:00,584081.48
7/21/2009 0:00,662687.7
7/22/2009 0:00,1577850.77
7/23/2009 0:00,989820.38
7/24/2009 0:00,912040.57
7/25/2009 0:00,131208.27
7/26/2009 0:00,285455.26
7/27/2009 0:00,635646.29
7/28/2009 0:00,678642.38
7/29/2009 0:00,1362952.43
7/30/2009 0:00,1152607.97
7/31/2009 0:00,571268.43
8/1/2009 0:00,637699.17
8/2/2009 0:00,373060.87
8/3/2009 0:00,1128866.32
8/4/2009 0:00,1043873.83
8/5/2009 0:00,457135.21
8/6/2009 0:00,890148.14
8/7/2009 0:00,585351.8
8/8/2009 0:00,168883.14
8/9/2009 0:00,80550.85
8/10/2009 0:00,1458455.84
8/11/2009 0:00,1144157.84
8/12/2009 0:00,581685.96
8/13/2009 0:00,1343472.89
8/14/2009 0:00,598227.39
8/15/2009 0:00,312867.01
8/16/2009 0:00,418622.71
8/17/2009 0:00,743901.67
8/18/2009 0:00,854770.75
8/19/2009 0:00,782027.38
8/20/2009 0:00,850106.26
8/21/2009 0:00,1593973.53
8/22/2009 0:00,429065.88
8/23/2009 0:00,117418.37
8/24/2009 0:00,550030.47
8/25/2009 0:00,1994760.06
8/26/2009 0:00,1257043.04
8/27/2009 0:00,1461424.82
8/28/2009 0:00,528214.2
8/29/2009 0:00,716579.06
8/30/2009 0:00,50890.46
8/31/2009 0:00,1118027.21
9/1/2009 0:00,1671289.78
9/2/2009 0:00,591335.23
9/3/2009 0:00,1819919.99
9/4/2009 0:00,1614373.65
9/5/2009 0:00,398514.14
9/6/2009 0:00,586563.05
9/7/2009 0:00,147448.88
9/8/2009 0:00,1212502.74
9/9/2009 0:00,858886.43
9/10/2009 0:00,842065.36
9/11/2009 0:00,462800.01
9/12/2009 0:00,247482.23
9/13/2009 0:00,107428.47
9/14/2009 0:00,614183.85
9/15/2009 0:00,1345140.76
9/16/2009 0:00,546059.68
9/17/2009 0:00,1040857.04
9/18/2009 0:00,954217.28
9/19/2009 0:00,160157.89
9/20/2009 0:00,207623.79
9/21/2009 0:00,576882.2
9/22/2009 0:00,478249.71
9/23/2009 0:00,1069400.2
9/24/2009 0:00,571494.83
9/25/2009 0:00,503803.15
9/26/2009 0:00,237217.31
9/27/2009 0:00,230106.5
9/28/2009 0:00,558439.33
9/29/2009 0:00,1292151.8
9/30/2009 0:00,964531.99
10/1/2009 0:00,940713.23
10/2/2009 0:00,1096057.8
10/3/2009 0:00,121755.03
10/4/2009 0:00,177430.22
10/5/2009 0:00,801348.29
10/6/2009 0:00,652862.14
10/7/2009 0:00,495315.81
10/8/2009 0:00,784497.65
10/9/2009 0:00,1067273.25
10/10/2009 0:00,151508.11
10/11/2009 0:00,487538.6
10/12/2009 0:00,453792.28
10/13/2009 0:00,1482309.24
10/14/2009 0:00,1637694.25
10/15/2009 0:00,1806479.93
10/16/2009 0:00,992289.24
10/17/2009 0:00,46979.71
10/18/2009 0:00,55688.89
10/19/2009 0:00,691040.71
10/20/2009 0:00,527074.17
10/21/2009 0:00,615185.53
10/22/2009 0:00,807900.51
10/23/2009 0:00,1362929.57
10/24/2009 0:00,609238.66
10/25/2009 0:00,575521.2
10/26/2009 0:00,862514.91
10/27/2009 0:00,783610.6
10/28/2009 0:00,971770.24
10/29/2009 0:00,1327553.62
